usuario_id,medio_pago_detalle,estado,tipo
101,'{""CreditCard"":{""CardNumber"":210085592835315,""CVV"":315,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
102,'{""CreditCard"":{""CardNumber"":210093674075818,""CVV"":818,""Vencimiento"":""04/21""}}',Activo,Tarjeta de crédito
103,'{""CreditCard"":{""CardNumber"":180079510959154,""CVV"":154,""Vencimiento"":""04/21""}}',Activo,Tarjeta de crédito
104,'{""CreditCard"":{""CardNumber"":210002134192881,""CVV"":881,""Vencimiento"":""04/21""}}',Activo,Tarjeta de crédito
105,'{""CreditCard"":{""CardNumber"":210091458510083,""CVV"":83,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
106,'{""CreditCard"":{""CardNumber"":180058600433734,""CVV"":734,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
107,'{""CreditCard"":{""CardNumber"":180061452606423,""CVV"":423,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
108,'{""CreditCard"":{""CardNumber"":180019034816910,""CVV"":910,""Vencimiento"":""04/21""}}',Activo,Tarjeta de crédito
109,'{""CreditCard"":{""CardNumber"":180085197667127,""CVV"":127,""Vencimiento"":""04/21""}}',Activo,Tarjeta de crédito
110,'{""CreditCard"":{""CardNumber"":180075153645449,""CVV"":449,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
111,'{""CreditCard"":{""CardNumber"":180023472881311,""CVV"":311,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
112,'{""CreditCard"":{""CardNumber"":210034090384913,""CVV"":913,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
113,'{""CreditCard"":{""CardNumber"":180021137009823,""CVV"":823,""Vencimiento"":""04/21""}}',Activo,Tarjeta de crédito
114,'{""CreditCard"":{""CardNumber"":180056104702679,""CVV"":679,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
115,'{""CreditCard"":{""CardNumber"":210050122920730,""CVV"":730,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
116,'{""CreditCard"":{""CardNumber"":210088453166895,""CVV"":895,""Vencimiento"":""04/21""}}',Activo,Tarjeta de crédito
117,'{""CreditCard"":{""CardNumber"":180088678994713,""CVV"":713,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
118,'{""CreditCard"":{""CardNumber"":210016849709839,""CVV"":839,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
119,'{""CreditCard"":{""CardNumber"":210093151459436,""CVV"":436,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
120,'{""CreditCard"":{""CardNumber"":210094103333141,""CVV"":141,""Vencimiento"":""04/21""}}',Activo,Tarjeta de crédito
121,'{""CreditCard"":{""CardNumber"":210074571886697,""CVV"":697,""Vencimiento"":""04/21""}}',Activo,Tarjeta de crédito
122,'{""CreditCard"":{""CardNumber"":210040471237000,""CVV"":0,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
123,'{""CreditCard"":{""CardNumber"":180084442854820,""CVV"":820,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
124,'{""CreditCard"":{""CardNumber"":210022177571338,""CVV"":338,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
125,'{""CreditCard"":{""CardNumber"":210016452290770,""CVV"":770,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
126,'{""CreditCard"":{""CardNumber"":180054389424275,""CVV"":275,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
127,'{""CreditCard"":{""CardNumber"":180018598052730,""CVV"":730,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
128,'{""CreditCard"":{""CardNumber"":180075826441788,""CVV"":788,""Vencimiento"":""04/21""}}',Activo,Tarjeta de crédito
129,'{""CreditCard"":{""CardNumber"":180019965717905,""CVV"":905,""Vencimiento"":""04/21""}}',Activo,Tarjeta de crédito
130,'{""CreditCard"":{""CardNumber"":180027987641607,""CVV"":607,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
131,'{""CreditCard"":{""CardNumber"":180010899677125,""CVV"":125,""Vencimiento"":""04/21""}}',Activo,Tarjeta de crédito
132,'{""CreditCard"":{""CardNumber"":210091437517258,""CVV"":258,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
133,'{""CreditCard"":{""CardNumber"":210048231245221,""CVV"":221,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
134,'{""CreditCard"":{""CardNumber"":210090043862470,""CVV"":470,""Vencimiento"":""04/21""}}',Activo,Tarjeta de crédito
135,'{""CreditCard"":{""CardNumber"":180012553553006,""CVV"":6,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
136,'{""CreditCard"":{""CardNumber"":180088118565495,""CVV"":495,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
137,'{""CreditCard"":{""CardNumber"":180015353988181,""CVV"":181,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
138,'{""CreditCard"":{""CardNumber"":180099589903727,""CVV"":727,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
139,'{""CreditCard"":{""CardNumber"":210047425594824,""CVV"":824,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
140,'{""CreditCard"":{""CardNumber"":210013210876560,""CVV"":560,""Vencimiento"":""04/21""}}',Activo,Tarjeta de crédito
141,'{""CreditCard"":{""CardNumber"":210016462291446,""CVV"":446,""Vencimiento"":""04/21""}}',Inactivo,Tarjeta de crédito
142,'{""CreditCard"":{""CardNumber"":210055238800213,""CVV"":213,""Vencimiento"":""04/21""}}',Activo,Tarjeta de crédito
